Bagging,0.935090500051,0.905210499814,0.896825396825
Logit_Boost,0.942683300951,0.929986607613,0.858267716535
RBF_Classifier,0.939564372635,0.924625909121,0.862903225806
MLP_Classifier_2,0.942632170979,0.930459667736,0.886274509804
REP_Tree,0.89538807649,0.909598888242,0.876033057851
MLP_Classifier_10,0.952142345843,0.934277723565,0.895752895753
Bayes_Network,0.834466714388,0.856407476312,0.814229249012
Adaboost,0.925784845076,0.912543565009,0.852830188679
Random_Forest,0.969858881276,0.965505509451,0.903225806452
FLDA,0.917322834646,0.913672450101,0.819277108434
