Bagging,0.956749549279,0.929208352299,0.911877394636
Logit_Boost,0.947998046875,0.907898839602,0.871794871795
RBF_Classifier,0.970552884615,0.95982207175,0.893939393939
MLP_Classifier_2,0.973369891827,0.964310203759,0.913385826772
REP_Tree,0.911658653846,0.809778380264,0.872
MLP_Classifier_10,0.97802734375,0.964917157977,0.922480620155
Bayes_Network,0.812199519231,0.803165222468,0.743494423792
Adaboost,0.940129206731,0.909291481934,0.839416058394
Random_Forest,0.978590745192,0.969590471389,0.921875
FLDA,0.937424879808,0.88165193426,0.88122605364
