Bagging,0.973059768064,0.916586917669,0.868131868132
Logit_Boost,0.967068093964,0.843955886554,0.795454545455
RBF_Classifier,0.973000297354,0.925482278699,0.850574712644
MLP_Classifier_2,0.983496877788,0.955393862403,0.905263157895
REP_Tree,0.909797799584,0.880332137844,0.785714285714
MLP_Classifier_10,0.992298542968,0.973782417435,0.921465968586
Bayes_Network,0.837094855784,0.784604567045,0.758241758242
Adaboost,0.95771632471,0.855589928629,0.79781420765
Random_Forest,0.977133511745,0.933291091636,0.897297297297
FLDA,0.972732679156,0.950299777528,0.909090909091
