Bagging,0.982514112626,0.952840153958,0.911392405063
Logit_Boost,0.966818119234,0.912737757438,0.855263157895
RBF_Classifier,0.912065721235,0.773053640104,0.712328767123
MLP_Classifier_2,0.996512001469,0.990257517181,0.975
REP_Tree,0.91716003488,0.880421923383,0.83950617284
MLP_Classifier_10,0.997659369407,0.992635506865,0.962962962963
Bayes_Network,0.794345770802,0.702994089353,0.666666666667
Adaboost,0.958121070265,0.886058040855,0.855421686747
Random_Forest,0.988273899674,0.966836404444,0.886075949367
FLDA,0.990132635734,0.932860533817,0.935897435897
