Bagging,0.940023250898,0.882450144732,0.78
Logit_Boost,0.878381948848,0.777006484705,0.658064516129
RBF_Classifier,0.931180863806,0.89154512398,0.796178343949
MLP_Classifier_2,0.899985908546,0.844795654398,0.8173374613
REP_Tree,0.843743394631,0.735777928781,0.75
MLP_Classifier_10,0.928468259001,0.874044536235,0.832258064516
Bayes_Network,0.764249982386,0.712083603785,0.649572649573
Adaboost,0.831510251532,0.656486631006,0.628205128205
Random_Forest,0.96349432819,0.914210078246,0.85534591195
FLDA,0.930282533643,0.818958062394,0.8173374613
